training;age;emergency_breaking;braking_distance;power;miles;risk;group_name;group
0;22.07499857030262;0;44.14138665547312;113.66894580481927;62.736075731375074;0.4058959266814697;high;0
0;64.67080001403423;1;40.31492727684593;81.33684179139682;21.936967997094317;0.40060601877651886;high;0
0;47.80192023471001;1;34.95350448096603;90.56233848559823;37.23856102444514;0.07744173194813081;low;2
0;24.97936085702071;1;33.08680001030257;165.3670074878885;16.682853537331425;0.1177596981102066;low;2
0;31.542704401879533;1;45.95721253344345;48.874956622237505;36.65065388562631;0.15945682282108228;medium;1
0;43.10911222382483;0;39.61894889248106;124.39927925806793;41.05009237275992;0.16490888395541156;medium;1
0;17.192214373705934;1;38.649001705662165;98.60871655768676;35.19749975436788;0.17021330356510828;medium;1
1;53.06878354685561;0;41.51532371887635;209.75191592721342;67.41380973237959;0.27174237752193847;high;0
0;24.91698451308092;0;41.884055043572474;151.50386005406645;31.26735424048794;0.23737434059853196;high;0
0;42.569559198520224;0;44.18196167340307;165.3434180831846;49.476329915331156;0.34228929948397413;high;0
0;57.57371453889997;1;44.52908838907845;164.9591282122945;61.89738487433968;0.46101129470876173;high;0
1;18.9554566401152;0;36.59301017304981;127.10414426277805;33.52174582605385;-0.10881875515659846;low;2
0;22.88988985179017;0;34.967169355805105;116.387816285551;51.507840161839844;0.1304519947822812;low;2
1;21.755233561423548;1;40.9492654952399;134.6461659903179;35.614999151239985;-0.10363211449018697;low;2
0;25.65610161420983;1;42.12817070455525;202.85693909735718;63.346564660389696;0.36611488551815174;high;0
1;33.28983444591894;0;37.10601398302516;113.05735209125;32.80283735212344;-0.30199874027179613;low;2
0;20.294431368065883;0;40.747926215915065;152.15037970986225;36.0296784021498;0.32236441648317843;high;0
0;30.970863274190656;1;42.37935436749362;128.5451979774271;24.895248616034156;0.012193381771178376;low;2
1;31.840197927561267;1;37.78544846003934;129.08718829567675;44.74945712554588;-0.23442383229883695;low;2
0;50.745463783752314;0;40.44382522788497;139.88883382250168;45.175346107944456;0.3116894505051629;high;0
0;36.72650727689862;1;43.28401623267225;128.2466193156688;29.163066142565565;0.09008151853274045;low;2
1;39.5735834726093;0;39.048988045783325;122.34189018213971;59.587816024227195;-0.09568853440004228;low;2
0;23.964949320148037;1;42.47481295030499;137.55014699110183;22.674043786300505;0.159164300373689;medium;1
0;28.566844771179007;0;36.61555700797712;130.19973643278706;60.08363274580687;0.2127450618774353;high;0
0;35.25275275975659;1;39.391479541957715;131.63381471196692;32.49126045171527;0.0292137307431411;low;2
0;27.471118636646565;1;38.00351492444317;118.85432692714404;32.37887053782991;0.04804414967054284;low;2
0;30.607106315793228;1;44.49024586982189;106.35142653343334;64.56934992834934;0.22253095767459066;high;0
0;28.704472630454468;0;39.396256114796515;118.92263637561982;71.581948987934;0.22647076246271314;high;0
0;44.05903924676916;1;47.813514763404854;135.45438435552754;47.8298013606526;0.27823372082743325;high;0
0;53.107622599648096;0;34.50258141001133;165.94706631337786;44.92271639339623;0.2795501485638691;high;0
1;77.09343024046035;1;42.7223843007083;96.93901874957258;28.17136255658984;0.2683098746917086;high;0
1;23.163249731099622;1;44.04811425328093;129.04874241469327;41.67529829221;-0.07715211100238167;low;2
0;60.40777867578889;1;35.64683776691347;141.02770766176724;31.437389402779885;0.22843442084161286;high;0
0;27.804001269044907;0;42.64728411873277;83.26253481235318;22.3774368892841;0.14109065407140628;low;2
0;47.753516585496484;0;39.076514456979986;180.0823258123669;76.43190452905327;0.4351720108603049;high;0
0;23.010542880351156;1;41.68155564581257;149.24992825326865;48.72119640933232;0.2902608009031498;high;0
1;33.234895708719925;1;39.44491274144913;102.6893637472251;50.47980151502404;-0.24783458445083395;low;2
0;38.65020195704513;1;42.6984878243463;86.30709286167465;26.293578703920815;0.06570047230990199;low;2
0;50.742514815963155;1;43.257247828410875;130.61297918219887;62.46801514771259;0.36817412859116755;high;0
0;21.026810564785592;0;32.887342378969315;142.71071909150027;35.1758357240942;0.16600020165743232;medium;1
1;22.267668261284232;1;34.40129098471063;110.5617530852782;27.694574976986964;-0.28223603359008514;low;2
0;32.6209067274811;1;37.76629043928755;179.69524903157895;31.2928490597092;0.07399798480821206;low;2
1;23.25108473864104;1;40.91336702420582;112.1427946741436;58.83209738521175;-0.057867190770415855;low;2
1;31.788709244772626;1;37.15700140488524;130.13664106168991;65.74839827393372;-0.1911860605321006;low;2
0;45.591755886512885;1;43.200306363550844;219.9695181146895;41.875545846519216;0.34718057036993194;high;0
1;35.52744060164651;1;40.02252759514497;168.55846266975203;46.43248103900474;-0.18669253880810593;low;2
0;16.032797100732882;0;38.29719525941677;158.4617365905091;29.66440466840891;0.3265137551028206;high;0
1;26.658208965255888;1;38.93560755458327;100.38261979422967;51.04267546306015;-0.1649727610887684;low;2
0;19.969550813908356;0;40.93617390940584;120.6197437467311;38.94850680026962;0.32788847992192743;high;0
0;29.599311420645954;1;43.19190559519831;99.70401571388207;32.82261393776704;0.046265966554891874;low;2
0;29.536844301360432;0;36.40089409166228;150.75951717775612;27.3339516892275;0.040743024854672114;low;2
0;20.59149440245113;1;40.98391294500673;117.37931449284574;41.00559915222364;0.20020388323301913;high;0
1;39.25746763582928;1;31.335252187451875;170.9106260503981;18.414642259934748;-0.3862869019833345;low;2
1;18.461972285929317;0;41.7545016055689;200.74572503904068;52.78609507395272;0.13736272661350946;low;2
